for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
a,apʼelsiⁿ,აპელსიჼ,d d,D,RU,n,,apʼelsini; ajpʼelsneⁿ,ფორთოხალი,orange,апельсин,**აპელსიჼ** *დ დ* (აპელსინი; აჲპელსნეჼ) ფორთოხალი
a,apʼqʼajreⁿ,აპყაჲრეჼ,,,,,,,,,,**აპყაჲრეჼ** ნაცრიანი
a,apʼqʼajrĭ,აპყაჲრი̆,,,,n,,,ნაცრიანი,(covered) with ashes,с золой,**აპყაჲრი̆** მრ. იხ. ჲოპყ
a,apʼqʼar,აპყარ,,,,vt,,,"შერჭობა (არჭობს), [და]რჭობა, დაცობა; [ამო]ჩრა","drive into, stick into",втыкать,"**აპყარ** გრდმ. შერჭობა (არჭობს), [და]რჭობა, დაცობა; [ამო]ჩრა სრ. დ-უყარ"
a,apʼqʼarbasiⁿ,აპყარბასიჼ,,,,,,,,,,**აპყარბასიჼ** ნაცრისფერი
a,"aq, aqĕ","აჴ, აჴე̆",d d,,,,,,,,,"**აჴ, აჴე̆** *დ დ* 1. ნადირი **აჴეღ დ-ერწარ** გრდუვ. 2. გრდუვ. გამხეცება (გამხეცდება), მხეცად გადაქცევა **აჴეხ დ-აწარ** გრდუვ. ნადირის დევნა, ნადირობა **აჴეხ დ-ა-წუჲნი̆** *ვ ბ* მონადირე, ნადირის მდევნელი"
a,aq-d-ar,აჴ-დ-არ,,,,vt,,,,,,"**აჴ-დ-არ** გრდმ. იგივეა, რაც **აჴარ**"
a,aq-d-itar,აჴ-დ-ითარ,,,,vt,,,,,,"**აჴ-დ-ითარ** გრდმ. იგივეა, რაც **აჴითარ**"
a,aqar,აჴარ,,,,vt,,,"გადახდა (იხდის); ზღვევა, ანაზღაურება",pay for,"платить, возместить, возмещать","**აჴარ** გრდმ. გადახდა (იხდის); ზღვევა, ანაზღაურება სრ. დ-ეჴარ."
a,aqar2,აჴარ2,,,,,,,,,,**აჴარ2**გრდუვ. მოწოვა ([მო]სწოვს)
a,aqitar,აჴითარ,,,,,,,,,,**აჴითარ** გრდმ. ზღვევინება
a,aqsareb,აჴსარებ,d d,D,GE,n,,,აღსარება,confession,исповедь,**აჴსარებ** *დ დ* აღსარება
a,aqseb,აჴსებ,d d,D,,n,,aqsbi; aqsbeⁿ,აღდგომა,Easter,пасха,**აჴსებ** *დ დ* (აჴსბი; აჴსბეჼ) აღდგომა
a,aqĕ,,,D,,n,,,ნადირი,"wild animal, game",зверь,
a,aqʼajrĭ,აყაჲრი̆,,,,n,,,,,,**აყაჲრი̆** მრ. იხ. *ჲუყ*
a,aqʼalmaqʼal,აყალმაყალ,j,J,GE,n,,,აყალმაყალი,quarrel,"шум-гам, гвалм, дебош, скандал",**აყალმაყალ** *ჲ* აყალმაყალი
a,aqʼalŏ,აყალო̆,j,J,,n,,,აყალო (მიწა),alum earth,глинозем,**აყალო̆** *ჲ* აყალო (მიწა)
a,aqʼar,აყარ,,,,vt,,,გაყოფა (ყოფს),divide,делить,**აყარ** გრდმ. გაყოფა *სრ. დ-ეყარ*
a,aqʼr,,,,,adv,,,გულაღმა,supine,"грудью вверх, на спине",
a,aqʼr-d-otʼar,აყრ-დ-ოტარ,,,,,,,,,,**აყრ-დ-ოტარ** გრდუვ. გადაზნექა
a,aqʼr[ĕ],აყრ[ე̆],,,,,,,,,,**აყრ[ე̆]** გულაღმა
a,aqʼrad-d-ar,აყრად-დ-არ,,,GE,vt,,,აყრა ([ა]ყრის),"take down, dismantle","разобрать, разбирать (пол...), снять, снимать лагерь",**აყრად-დ-არ** გრდმ. აყრა ([ა]ყრის)
a,araqʼ,არაყ,d d,D,GE; Turk.,n,,arqʼeⁿ,არაყი,vodka,водка,**არაყ** *დ დ* (არყეჼ) არაყი
a,arcʼarat,არწარათ,,,,,,,,,,**არწარათ** ზმნს. წარამარა
a,arcʼiv,არწივ,d d,D,GE,n,,arcʼivi; ajrcʼveⁿ,არწივი,eagle,орел,**არწივ** *დ დ* (არწივი; აჲრწვეჼ)არწივი
a,arkʼeⁿ,არკეჼ,,,,a,,,მკვახე,"unripe, crude","неспелый, незрелый",**არკეჼ** მკვახე
a,arkʼum,არკუმ,b d,B,,n,,ajrkʼmeⁿ,მხალი,mkhali,мхали (овощное блюдо),**არკუმ** *ბ დ* (აჲრკმეჼ) მხალი
a,arlar,არლარ,,,,vt,,,ლეწვა (ლეწავს),"thresh; smash, thrash",молотить,**არლარ** გრდმ. ლეწვა (ლეწავს)
a,arlcʼiⁿ,არლწიჼ,,,,,,,,,,"**არლწიჼ** გაულეწავი, გაულეწავად"
a,arlex,არლეხ,,,,,,,,,,**არლეხ** მარცხნივ
a,arlinŏ,არლინო̆,,,,,,,,,,**არლინო̆** მიმღ. გალეწილი
